Baccalaureate Institution,Current Institution,Field of Study,Year,Status
washington college,university of california san francisco,Life Sciences - Cell Biology,2011,award
yale university,massachusetts institute of technology,Social Sciences - Economics (except Business Administration),2011,award
winstonsalem state university,northwestern university,Psychology - Cognitive,2011,award
university of wisconsinmadison,university of washington,Life Sciences - Genetics,2011,award
drexel university,undecided,Physics and Astronomy - Optics,2011,award
rensselaer polytechnic institute,university of california santa barbara,Engineering - Chemical Engineering,2011,award
northwestern university,undecided,Engineering - Materials,2011,award
princeton university,hunter college,Social Sciences - Economics (except Business Administration),2011,award
university of west florida,undecided,Engineering - Environmental,2011,award
colorado school of mines,university of colorado at boulder,Mathematical Sciences - other (specify) - Computational Math Modeling,2011,award
university of west florida,university of illinois at urbanachampaign,Life Sciences - Biophysics,2011,award
san diego state university,undecided,Psychology - Neuropsychology,2011,award
lafayette college,university of miami,Psychology - Cognitive,2011,award
west chester university of pennsylvania,west chester university of pennsylvania,Life Sciences - Neurosciences,2011,award
massachusetts institute of technology,massachusetts institute of technology,Comp/IS/Eng - Computer Science - Theoretical Foundations,2011,award
university of virginia main campus,university of virginia main campus,Engineering - Chemical Engineering,2011,award
university of west florida,university of san diego,Chemistry - Theoretical,2011,award
university of puerto rico,university of california berkeley,Life Sciences - Neurosciences,2011,award
university of virginia main campus,university of illinois at chicago,Life Sciences - other (specify) - Evolutionary Genetics,2011,award
university of arizona,university of arizona,Engineering - Mechanical,2011,award
university of texas at austin,university of the district of columbia,Social Sciences - Economics (except Business Administration),2011,award
trinity valley community college,university of california riverside,Chemistry - Analytical,2011,award
colgate university,northwestern university,Chemistry - Theoretical,2011,award
university of californiaberkeley,stanford university,Life Sciences - Evolutionary Biology,2011,award
university of illinois at chicago,carnegie mellon university,Mathematical Sciences - Probability and Statistics,2011,award
swarthmore college,harvard university,Life Sciences - Immunology,2011,award
university of southern indiana,university of southern indiana,Psychology - Developmental,2011,award
university of north carolina at chapel hill,university of michigan  ann arbor,Social Sciences - Political Science,2011,award
princeton university,stanford university,Comp/IS/Eng - Computer Architecture and Grids,2011,award
denison university,state university of new york college of environmental science and forestry,Life Sciences - Ecology,2011,award
massachusetts institute of technology,massachusetts institute of technology,Life Sciences - Computational Biology,2011,award
rice university,university of michigan  dearborn,Life Sciences - Neurosciences,2011,award
university of michigan  ann arbor,university of michigan  ann arbor,Engineering - Materials,2011,award
university of california berkeley,northwestern university,Chemistry - Organic,2011,award
university of maryland eastern shore,university of virginia main campus,Engineering - Biomedical,2011,award
university of illinois at urbanachampaign,university of california berkeley,Chemistry - Inorganic,2011,award
university of illinois at urbanachampaign,university of illinois at urbanachampaign,Engineering - Mechanical,2011,award
bryn mawr college,bryn mawr college,Mathematical Sciences - Topology,2011,award
university of illinois at urbanachampaign,university of illinois at urbanachampaign,Engineering - Aeronautical and Aerospace,2011,award
university of minnesota  twin cities,university of arizona,Physics and Astronomy - Astronomy,2011,award
dartmouth college,university of washington,Comp/IS/Eng - Operating Systems and Middleware,2011,award
harvard college president  fellows of,harvard college president  fellows of,Comp/IS/Eng - Operating Systems and Middleware,2011,award
university of minnesota  twin cities,university of minnesota  twin cities,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
university of texas at austin,university of california santa barbara,Psychology - Cognitive,2011,award
university of north carolina at chapel hill,princeton university,Life Sciences - Molecular Biology,2011,award
john brown university,university of texas at austin,Psychology - Cognitive Neuroscience,2011,award
university of michigan  ann arbor,university of michigan  ann arbor,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
university of miami,university of kansas,Psychology - Social,2011,award
university of washington,university of washington,Life Sciences - Molecular Biology,2011,award
san diego state university,university of san diego,Life Sciences - Cell Biology,2011,award
university of pittsburgh​titusville,university of pittsburgh​titusville,Engineering - Biomedical,2011,award
saint olaf college,university of california santa barbara,Life Sciences - Ecology,2011,award
south dakota school of mines and technology,university of minnesota  twin cities,Engineering - Biomedical,2011,award
university of wisconsinmadison,university of wisconsinmadison,Chemistry - Polymer,2011,award
cornell university,cornell university,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
georgia institute of technology,georgia institute of technology,Engineering - Biomedical,2011,award
hamilton college,hamilton college,Psychology - Cognitive Neuroscience,2011,award
university of california berkeley,harvard university,Life Sciences - Biochemistry,2011,award
stanford university,stanford university,Chemistry - Inorganic,2011,award
virginia polytech inst and state un,virginia polytech inst and state un,Engineering - Civil Engineering,2011,award
university of pittsburgh​titusville,university of pittsburgh​titusville,Engineering - Bioengineering,2011,award
franklin w olin college of engineering,massachusetts institute of technology,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
northwestern university,university of california santa barbara,Engineering - Materials,2011,award
united states military academy,undecided,Engineering - Systems Engineering,2011,award
purdue university northwest,case western reserve university,Engineering - Biomedical,2011,award
loyola university new orleans,louisiana state university​eunice,Life Sciences - Biochemistry,2011,award
university of louisiana at lafeyette,tulane university,Chemistry - Bio-organic,2011,award
lafayette college,drexel university,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
cornell university,undecided,Geosciences - Climate Dynamics,2011,award
duke university,undecided,Social Sciences - Sociology  (except Social Work),2011,award
university of san diego,undecided,Engineering - Mechanical,2011,award
university of houston,yale university,Psychology - Physiological,2011,award
harvard university,harvard university,Life Sciences - Neurosciences,2011,award
university of texas at el paso,university of west florida,Life Sciences - Neurosciences,2011,award
evergreen state college,university of southern indiana,Psychology - Social,2011,award
reed college,university of northern iowa,Psychology - Cognitive,2011,award
haverford college in pennsylvania,yale university,Life Sciences - Immunology,2011,award
stanford university,stanford university,Life Sciences - Immunology,2011,award
state university of new york system,northwestern university,Engineering - Materials,2011,award
purdue university northwest,purdue university northwest,Engineering - Nuclear,2011,award
university of wisconsinmadison,university of minnesota  twin cities,Life Sciences - Ecology,2011,award
university of rochester,johns hopkins medical institute,Life Sciences - Neurosciences,2011,award
university of california berkeley,university of california berkeley,Physics and Astronomy - Astronomy,2011,award
williams college,west chester university of pennsylvania,Life Sciences - Evolutionary Biology,2011,award
william howard taft university,university of michigan  dearborn,Engineering - Electrical and Electronic,2011,award
university of michigan  dearborn,rice university,Life Sciences - Ecology,2011,award
brandeis university,west chester university of pennsylvania,Physics and Astronomy - Condensed Matter Physics,2011,award
columbia university,undecided,Life Sciences - Evolutionary Biology,2011,award
bowdoin college,oregon state university,Life Sciences - Marine Biology,2011,award
university of utah,university of wisconsinmadison,Chemistry - Bio-organic,2011,award
clemson university,university of texas at austin,Life Sciences - Ecology,2011,award
university of california riverside,university of california riverside,Engineering - Bioengineering,2011,award
western state colorado university,university of washington,Life Sciences - Fish and Wildlife,2011,award
university of rochester,university of rochester,Physics and Astronomy - Theoretical Physics,2011,award
california institute of technology,california institute of technology,Mathematical Sciences - Geometry,2011,award
university of wisconsinmadison,university of wisconsinmadison,Engineering - Biomedical,2011,award
university of minnesota  twin cities,university of minnesota  twin cities,Life Sciences - Fish and Wildlife,2011,award
tufts university,tufts university,Engineering - Electrical and Electronic,2011,award
university of california berkeley,university of california berkeley,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
swarthmore college,massachusetts institute of technology,Psychology - Psycholinguistics,2011,award
massachusetts institute of technology,massachusetts institute of technology,Mathematical Sciences - Algebra or Number Theory,2011,award
university of the district of columbia,undecided,Social Sciences - Physical Anthropology,2011,award
university of californiaberkeley,undecided,Social Sciences - Sociology  (except Social Work),2011,award
john brown university,undecided,Life Sciences - Ecology,2011,award
university of michigan  ann arbor,university of michigan  ann arbor,Engineering - Mechanical,2011,award
hamilton college,yale university,Life Sciences - Immunology,2011,award
university of californiaberkeley,state university of new york system,Social Sciences - Sociology  (except Social Work),2011,award
harvey mudd college,undecided,Engineering - Civil Engineering,2011,award
university of new mexico,university of washington,Social Sciences - Medical Anthropology,2011,award
university of cincinnati,university of montana,Life Sciences - Ecology,2011,award
duke university,duke university,Comp/IS/Eng - Computer Science - Theoretical Foundations,2011,award
franklin and marshall college,yale university,Life Sciences - Neurosciences,2011,award
georgetown university,university of californiaberkeley,Social Sciences - Geography,2011,award
drexel university,drexel university,Engineering - Electrical and Electronic,2011,award
north carolina state university,north carolina state university,Life Sciences - Genetics,2011,award
cornell university,undecided,Life Sciences - Evolutionary Biology,2011,award
colorado school of mines,stanford university,Engineering - Materials,2011,award
haverford college in pennsylvania,ruhr university bochum,Chemistry - Physical,2011,award
university of californiaberkeley,harvard university,Life Sciences - Evolutionary Biology,2011,award
university of connecticut,pennsylvania state university,Engineering - Engineering Science,2011,award
university of alabama at tuscaloosa,pennsylvania state university,Social Sciences - Sociology  (except Social Work),2011,award
duke university,west chester university of pennsylvania,Social Sciences - Economics (except Business Administration),2011,award
indiana universitypurdue university at indianapolis,university of kansas,Psychology - Social,2011,award
university of california berkeley,university of california berkeley,Engineering - Industrial,2011,award
university of michigan  dearborn,california institute of technology,Physics and Astronomy - Optics,2011,award
harvard university,harvard university,Chemistry - Organic,2011,award
winthrop university,clemson university,Comp/IS/Eng - Human Computer Interaction,2011,award
university of kansas,university of texas at austin,Engineering - Chemical Engineering,2011,award
rensselaer polytechnic institute,rensselaer polytechnic institute,Engineering - Biomedical,2011,award
university of texas southwestern medical center,duke university,Life Sciences - Neurosciences,2011,award
fort lewis college,fort lewis college,Life Sciences - Fish and Wildlife,2011,award
baylor university,baylor university,Engineering - Materials,2011,award
university of puerto rico,university of puerto rico,Psychology - Developmental,2011,award
university of rochester,university of rochester,Psychology - Developmental,2011,award
university of west florida,university of west florida,Engineering - Environmental,2011,award
state university of new york college of environmental science and forestry,university of california santa cruz,Life Sciences - Fish and Wildlife,2011,award
iowa state university,iowa state university,Engineering - Mechanical,2011,award
albion college,university of wisconsinmadison,Geosciences - Geochemistry,2011,award
university of pittsburgh​titusville,university of illinois at urbanachampaign,Life Sciences - Biochemistry,2011,award
yale university,cambridge university,Comp/IS/Eng - Computer Science - Theoretical Foundations,2011,award
university of michigan  dearborn,university of michigan  dearborn,Engineering - Systems Engineering,2011,award
university of californiaberkeley,university of californiaberkeley,Social Sciences - Sociology  (except Social Work),2011,award
ohio university,ohio university,Engineering - Mechanical,2011,award
university of pennsylvania,university of michigan  dearborn,Psychology - Physiological,2011,award
vanderbilt university,university of california davis,Life Sciences - Ecosystem Ecology,2011,award
georgia institute of technology,georgia institute of technology,Physics and Astronomy - Plasma,2011,award
university of california berkeley,university of california san francisco,Life Sciences - Genetics,2011,award
university of the pacific,university of colorado at boulder,Engineering - Mechanical,2011,award
stanford university,stanford university,Engineering - Materials,2011,award
university of alabama at birmingham,university of washington,Life Sciences - Biophysics,2011,award
university of nebraskalincoln,northwestern university,Social Sciences - Physical Anthropology,2011,award
university of the district of columbia,university of the district of columbia,Life Sciences - Neurosciences,2011,award
saint cloud state university,university of miami,STEM Education and Learning Research - Science Education,2011,award
cornell university,cornell university,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
louisiana state university,louisiana state university,"Geosciences - other (specify) - Life Sciences, Biochemistry",2011,award
occidental college,university of california riverside,Social Sciences - Sociology  (except Social Work),2011,award
purdue university northwest,purdue university northwest,Engineering - Biomedical,2011,award
macalester college,western washington university,Psychology - Cognitive,2011,award
dartmouth college,undecided,Social Sciences - International Relations,2011,award
university of illinois at urbanachampaign,university of illinois at urbanachampaign,Physics and Astronomy - Astrophysics,2011,award
san diego state university,duke university,Engineering - Aeronautical and Aerospace,2011,award
occidental college,university of california riverside,Life Sciences - Botany (including Plant Physiology),2011,award
university of north georgia,western state colorado university,Life Sciences - Animal Behavior,2011,award
university of california berkeley,university of california berkeley,Mathematical Sciences - Algebra or Number Theory,2011,award
carnegie mellon university,carnegie mellon university,Engineering - Electrical and Electronic,2011,award
yale university,yale university,Social Sciences - Political Science,2011,award
university of north carolina at chapel hill,undecided,Psychology - Psycholinguistics,2011,award
university of california los angeles,undecided,Physics and Astronomy - Particle Physics,2011,award
northwestern university,northwestern university,Engineering - Electrical and Electronic,2011,award
beloit college,north carolina state university,Life Sciences - Ecology,2011,award
john brown university,undecided,Social Sciences - Cultural Anthropology,2011,award
university of west florida,university of west florida,Engineering - Nuclear,2011,award
university of virginia main campus,university of virginia main campus,Comp/IS/Eng - Computer Science - Theoretical Foundations,2011,award
university of notre dame,university of notre dame,Social Sciences - Cultural Anthropology,2011,award
drexel university,university of california los angeles,Psychology - Experimental or Comparative,2011,award
princeton university,harvard university,Social Sciences - Sociology  (except Social Work),2011,award
wellesley college,cornell university,Social Sciences - Political Science,2011,award
university of the district of columbia,georgia institute of technology,Engineering - Civil Engineering,2011,award
united states naval academy,united states naval academy,Geosciences - Physical Oceanography,2011,award
university of wisconsinmadison,university of california davis,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,award
university of washington,university of washington,Comp/IS/Eng - Information Technology and Organizations,2011,award
the masters college,university of california davis,Chemistry - Inorganic,2011,award
bryn mawr college,stanford university,Life Sciences - Neurosciences,2011,award
pennsylvania state university,university of massachusetts at amherst,Engineering - Materials,2011,award
university of california santa cruz,university of southern california,Chemistry - Inorganic,2011,award
beloit college,university of washington,Life Sciences - Immunology,2011,award
vanderbilt university,vanderbilt university,Engineering - Chemical Engineering,2011,award
university of connecticut,university of connecticut,Life Sciences - Ecology,2011,award
state university of new york system,state university of new york system,Life Sciences - Neurosciences,2011,award
university of north carolina at chapel hill,duke university,Life Sciences - Cell Biology,2011,award
creighton university,creighton university,Engineering - Bioengineering,2011,award
rice university,undecided,Physics and Astronomy - Solid State,2011,award
smith college,tufts university,Life Sciences - Evolutionary Biology,2011,award
georgia institute of technology,stanford university,Engineering - Civil Engineering,2011,award
university of west florida,university of massachusetts at amherst,Engineering - Materials,2011,award
university of wisconsinmadison,undecided,Life Sciences - Genetics,2011,award
john brown university,undecided,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
pennsylvania state university,pennsylvania state university,Engineering - Mechanical,2011,award
morehouse college,morehouse college,Engineering - Mechanical,2011,award
university of illinois at urbanachampaign,university of southern indiana,Psychology - Cognitive,2011,award
university of michigan  dearborn,university of michigan  dearborn,Engineering - Civil Engineering,2011,award
clark university,clark university,Psychology - Social,2011,award
tufts university,texas am university main campus,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,award
university of pittsburgh​titusville,university of pittsburgh​titusville,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,award
johnson c smith university,pennsylvania state university,Comp/IS/Eng - Information Technology and Organizations,2011,award
duke university,duke university,Engineering - Aeronautical and Aerospace,2011,award
suny at buffalo,university of colorado at boulder,Engineering - Aeronautical and Aerospace,2011,award
louisiana state university,louisiana state university,Engineering - Electrical and Electronic,2011,award
university of californiaberkeley,northwestern university,Chemistry - Organic,2011,award
virginia commonwealth university,virginia commonwealth university,Life Sciences - Evolutionary Biology,2011,award
worcester polytechnic institute,cornell university,Engineering - Biomedical,2011,award
lewis and clark community college,lewis and clark community college,Social Sciences - Economics (except Business Administration),2011,award
california polytechnic state university san luis obispo,university of california irvine,Chemistry - Organic,2011,award
emory university,university of california berkeley,Life Sciences - Microbiology,2011,award
boston university,ohio university,Engineering - Materials,2011,award
university of californiaberkeley,john brown university,Life Sciences - Evolutionary Biology,2011,award
georgia institute of technology,georgia institute of technology,Geosciences - Paleoclimate,2011,award
university of californiaberkeley,undecided,Social Sciences - Economics (except Business Administration),2011,award
hobart and william smith colleges,uclahigher education research institute,Psychology - Social,2011,award
university of california irvine,university of california los angeles,Life Sciences - Immunology,2011,award
davidson county community college,harvard university,Life Sciences - Developmental Biology,2011,award
state university of new york system,undecided,Social Sciences - Physical Anthropology,2011,award
northwestern university,northwestern university,Comp/IS/Eng - other (specify) - Music Information Retrieval,2011,award
university of miami,georgia institute of technology,Engineering - Bioengineering,2011,award
university of southern california,university of california irvine,Life Sciences - Neurosciences,2011,award
indiana university at south bend,indiana university at south bend,Physics and Astronomy - Theoretical Physics,2011,award
university of notre dame,university of california berkeley,Chemistry - Analytical,2011,award
university of nevada reno,pennsylvania state university,Life Sciences - other (specify) - Plant Biology,2011,award
union county college,university of pennsylvania,Life Sciences - Pharmacology,2011,award
western washington university,harvard university,Social Sciences - Physical Anthropology,2011,award
university of the district of columbia,university of the district of columbia,Social Sciences - Economics (except Business Administration),2011,award
university of west florida,university of west florida,Engineering - Materials,2011,award
university of california santa cruz,university of california riverside,Psychology - Social,2011,award
rice university,undecided,Geosciences - Paleoclimate,2011,award
california institute of technology,university of washington,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,award
portland state university,oregon health and science university,Chemistry - Bio-inorganic,2011,award
university of minnesota  twin cities,university of maryland college park,Social Sciences - Linguistics,2011,award
university of californiaberkeley,stanford university,Life Sciences - Biophysics,2011,award
california institute of technology,california institute of technology,Life Sciences - Computational Biology,2011,award
new hampshire college,harvard university,Psychology - Social,2011,award
university of arizona,university of california los angeles,Psychology - Developmental,2011,award
university of washington,university of washington,Engineering - Biomedical,2011,award
university of california berkeley,university of california berkeley,Life Sciences - Biophysics,2011,award
massachusetts institute of technology,stanford university,Engineering - Materials,2011,award
massachusetts institute of technology,stanford university,Engineering - Chemical Engineering,2011,award
university of illinois at urbanachampaign,massachusetts institute of technology,Chemistry - Physical,2011,award
university of californiaberkeley,undecided,Chemistry - Bio-organic,2011,award
massachusetts institute of technology,university of california berkeley,Engineering - Environmental,2011,award
university of california berkeley,undecided,Life Sciences - Marine Biology,2011,award
university of new mexico,dartmouth college,Psychology - Cognitive Neuroscience,2011,award
university of california berkeley,stanford university,Chemistry - Physical,2011,award
university of illinois at urbanachampaign,university of texas at austin,Engineering - Materials,2011,award
san jose state university,university of minnesota  twin cities,Chemistry - Materials,2011,award
university of texas at austin,university of texas at austin,Engineering - Chemical Engineering,2011,award
zhejiang university,cornell university,Engineering - Biomedical,2011,award
california institute of technology,california institute of technology,Engineering - Bioengineering,2011,award
massachusetts institute of technology,massachusetts institute of technology,Life Sciences - Microbiology,2011,award
princeton university,university of the district of columbia,Engineering - Biomedical,2011,award
university of californiaberkeley,university of californiaberkeley,Life Sciences - Molecular Biology,2011,award
rice university,stanford university,Engineering - Electrical and Electronic,2011,award
massachusetts institute of technology,stanford university,Engineering - Mechanical,2011,award
university of illinois at urbanachampaign,university of illinois at urbanachampaign,Physics and Astronomy - Nuclear,2011,award
harvard college president  fellows of,harvard university,Life Sciences - Microbiology,2011,award
scripps college,university of california los angeles,Life Sciences - Evolutionary Biology,2011,award
pennsylvania state university,pennsylvania state university,Engineering - Bioengineering,2011,award
university of delaware,university of delaware,Engineering - Chemical Engineering,2011,award
brandeis university,university of california berkeley,Life Sciences - Biophysics,2011,award
smith college,university of california los angeles,Psychology - Physiological,2011,award
massachusetts institute of technology,massachusetts institute of technology,Engineering - Materials,2011,award
stanford university,cambridge university,Mathematical Sciences - Geometry,2011,award
university of nebraskalincoln,university of texas at austin,Physics and Astronomy - Astronomy,2011,award
university of the district of columbia,princeton university,Life Sciences - Ecosystem Ecology,2011,award
university of wisconsineau claire,pennsylvania state university,Social Sciences - Geography,2011,award
university of kansas,university of kansas,Physics and Astronomy - other (specify) - biological,2011,award
california institute of technology,university of california los angeles,Engineering - Aeronautical and Aerospace,2011,award
university of new england,university of new england,Life Sciences - Marine Biology,2011,award
massachusetts institute of technology,university of washington,Engineering - Bioengineering,2011,award
university of wisconsinmadison,university of wisconsinmadison,Engineering - Biomedical,2011,award
university of north carolina at chapel hill,university of north georgia,Comp/IS/Eng - Information Technology and Organizations,2011,award
western washington university,university of california riverside,Life Sciences - Physiology,2011,award
rensselaer polytechnic institute,university of michigan  dearborn,Engineering - Environmental,2011,award
university of california irvine,university of california san francisco,Life Sciences - Biochemistry,2011,award
north carolina state university,north carolina state university,Mathematical Sciences - other (specify) - Applied Mathematics,2011,award
university of texas at austin,university of texas at austin,Engineering - Mechanical,2011,award
stanford university,duke university,Psychology - Cognitive Neuroscience,2011,award
brigham young university hawaii,massachusetts institute of technology,Life Sciences - Computational Biology,2011,award
smith college,undecided,Engineering - Biomedical,2011,award
university of california berkeley,university of california berkeley,Physics and Astronomy - Theoretical Physics,2011,award
princeton university,massachusetts institute of technology,Engineering - Materials,2011,award
harvard university,undecided,Life Sciences - Molecular Biology,2011,award
university of texas at austin,university of texas at austin,Social Sciences - Cultural Anthropology,2011,award
macalester college,undecided,Life Sciences - Ecology,2011,award
san francisco state university,university of hawaii at manoa,Life Sciences - Zoology,2011,award
cornell university,princeton university,Mathematical Sciences - Algebra or Number Theory,2011,award
west chester university of pennsylvania,west chester university of pennsylvania,Engineering - Materials,2011,award
harvard university,the scripps research institute,Chemistry - Organic,2011,award
university of notre dame,northwestern university,Engineering - Chemical Engineering,2011,award
harvard college president  fellows of,university of california san diego,Psychology - Experimental or Comparative,2011,award
georgia institute of technology,university of california berkeley,Social Sciences - Economics (except Business Administration),2011,award
iowa state university,iowa state university,Engineering - Electrical and Electronic,2011,award
johns hopkins university applied physics laboratory,university of minnesota  twin cities,Engineering - Biomedical,2011,award
wesleyan university,undecided,Life Sciences - Evolutionary Biology,2011,award
ohio university,ohio university,Physics and Astronomy - Particle Physics,2011,award
bucknell university,university of illinois at chicago,Chemistry - Inorganic,2011,award
barnard college,state univ of ny at stony brook,"Social Sciences - other (specify) - Technology, Policy, and Innovation",2011,award
university of michigan  ann arbor,undecided,Life Sciences - Microbiology,2011,award
university of virginia main campus,university of virginia main campus,Life Sciences - Population and Community Ecology,2011,award
university of new mexico,university of new mexico,Engineering - Chemical Engineering,2011,award
university of richmond,undecided,Comp/IS/Eng - Scientific Computing and Informatics,2011,award
university of alabama at tuscaloosa,university of alabama at tuscaloosa,Engineering - Mechanical,2011,award
university of illinois at chicago,university of wisconsinmadison,Chemistry - Inorganic,2011,award
ithaca college,university of california berkeley,Psychology - Social,2011,award
university of colorado at boulder,university of california berkeley,Life Sciences - Plant Pathology,2011,award
university of california santa cruz,university of california santa cruz,Physics and Astronomy - Astrophysics,2011,award
new school university,university of california santa barbara,Psychology - Developmental,2011,award
pennsylvania state university,university of texas at austin,Chemistry - Analytical,2011,award
university of kansas,university of kansas,Chemistry - Biophysical,2011,award
university of minnesota  twin cities,cornell university,Chemistry - Polymer,2011,award
university of new hampshire durham,university of massachusetts at amherst,Engineering - Mechanical,2011,award
colorado northwestern community college,university of north carolina at chapel hill,Life Sciences - Ecology,2011,award
washington  lee university,pennsylvania state university,Psychology - Developmental,2011,award
colby community college,columbia university,Geosciences - Geochemistry,2011,award
cornell university,undecided,Life Sciences - Ecology,2011,award
franklin w olin college of engineering,carnegie mellon university,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
west virginia university at parkersburg,cornell university,Life Sciences - Botany (including Plant Physiology),2011,award
university of nevada reno,west chester university of pennsylvania,Engineering - Mechanical,2011,award
harvey mudd college,harvey mudd college,Life Sciences - Biochemistry,2011,award
university of california santa cruz,harvard university,Social Sciences - Physical Anthropology,2011,award
pennsylvania state university,pennsylvania state university,Life Sciences - Microbiology,2011,award
university of california berkeley,pennsylvania state university,Physics and Astronomy - Astrophysics,2011,award
university of california los angeles,university of washington,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,award
west virginia university at parkersburg,west virginia university at parkersburg,Physics and Astronomy - Condensed Matter Physics,2011,award
university of california berkeley,university of california berkeley,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
university of maryland baltimore county,northwestern university,Chemistry - Inorganic,2011,award
university of connecticut,university of connecticut,Engineering - Electrical and Electronic,2011,award
university of virginia main campus,harvard university,Physics and Astronomy - Astrophysics,2011,award
middlebury college,university of massachusetts boston,Life Sciences - Marine Biology,2011,award
clemson university,undecided,Engineering - Energy,2011,award
juniata college,university of the district of columbia,Physics and Astronomy - Astrophysics,2011,award
university of the district of columbia,university of california irvine,Social Sciences - Cultural Anthropology,2011,award
university of san diego,massachusetts institute of technology,Life Sciences - Genetics,2011,award
