Baccalaureate Institution,Current Institution,Field of Study,Year,Status
UCLA-HIGHER EDUCATION RESEARCH INSTITUTE,Florida State University,Psychology - Social,2013,award
Indiana University,California Institute of Technology,Chemistry - Chemical Catalysis,2013,award
Washington University,Washington University,Engineering - Electrical and Electronic,2013,award
Texas State University - San Marcos,Texas State University - San Marcos,Geosciences - Paleoclimate,2013,award
University of California-Berkeley,University of Arizona,Life Sciences - Ecology,2013,award
University of California-Berkeley,University of California-Berkeley,Engineering - Industrial Engineering and Operations Research,2013,award
Union College,University of Illinois at Urbana-Champaign,Chemistry - Chemical Synthesis,2013,award
Dominican University,Northwestern University,Chemistry - Chemical Synthesis,2013,award
Purdue University,University of Colorado at Boulder,Engineering - Aeronautical and Aerospace,2013,award
Amherst College,Duke University,Life Sciences - Genetics,2013,award
University of Michigan Ann Arbor,University of Michigan Ann Arbor,Engineering - Electrical and Electronic,2013,award
UNIVERSITY OF MARYLAND,University of Pennsylvania,Engineering - Bioengineering,2013,award
CUNY City University of New York,New York University,Social Sciences - Sociology  (except Social Work),2013,award
Rochester Institute of Tech,University of Washington,Life Sciences - Cell Biology,2013,award
California State University-San Bernardino,University of Michigan,Life Sciences - Neurosciences,2013,award
Oberlin College,University of California-Irvine,Chemistry - other (specify) - Physical Chemistry,2013,award
University of Puerto Rico Mayaguez,University of Illinois at Urbana-Champaign,Life Sciences - other (specify) - Plant biology,2013,award
Southern Methodist University,Southern Methodist University,Physics and Astronomy - Condensed Matter Physics,2013,award
University of Puerto Rico Mayaguez,University of Illinois at Urbana-Champaign,Engineering - Civil Engineering,2013,award
University of Puerto Rico Mayaguez,University of Michigan Ann Arbor,Engineering - Chemical Engineering,2013,award
University of California-Irvine,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",Chemistry - other (specify) - Physical Chemistry,2013,award
Florida Atlantic University,Columbia University,Life Sciences - Genetics,2013,award
Oregon State University,Pennsylvania State Univ University Park,Geosciences - Glaciology,2013,award
Florida International University,University of Michigan,Life Sciences - Neurosciences,2013,award
Clemson University,Columbia University,Engineering - Biomedical,2013,award
New York University,UNIVERSITY OF MICHIGAN,Psychology - Developmental,2013,award
Washington University,Duke University,Materials Research - Biomaterials,2013,award
UNIVERSITY OF MARYLAND BALTIMORE COUNTY,UNIVERSITY OF MARYLAND,Engineering - Mechanical,2013,award
Massachusetts Institute of Technology,University of Texas at Austin,Engineering - Civil Engineering,2013,award
Pepperdine University,University of North Carolina at Chapel Hill,Chemistry - Chemical Catalysis,2013,award
North Carolina State University,North Carolina State University,Life Sciences - Ecology,2013,award
Williams College,Undecided,Life Sciences - other (specify) - Wildlife Science,2013,award
University of Delaware,Duke University,Social Sciences - Political Science,2013,award
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Engineering - Bioengineering,2013,award
University of Washington,University of Washington,Engineering - Bioengineering,2013,award
Purdue University,Northwestern University,Engineering - Environmental,2013,award
University of Rochester,Georgia Institute of Technology,Materials Research - Photonic materials,2013,award
University of California - Merced,Stanford University,STEM Education and Learning Research - Engineering Education,2013,award
University of Puerto Rico Cayey University College,Arizona State University,Social Sciences - other (specify) - Sustainability,2013,award
University of Puerto Rico-Rio Piedras,University of Wisconsin-Madison,Life Sciences - Molecular Biology,2013,award
University of Puerto Rico Mayaguez,North Carolina State University,STEM Education and Learning Research - Technology Education,2013,award
Brown University,University of Virginia Main Campus,Engineering - Computer Engineering,2013,award
Temple University,University of North Carolina at Chapel Hill,Life Sciences - Molecular Biology,2013,award
University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Social Sciences - Biological Anthropology,2013,award
Yale University,Harvard University,Life Sciences - Structural Biology,2013,award
University of Pittsburgh,University of California-Irvine,Comp/IS/Eng - Software Systems and Software Engineering,2013,award
University of Alabama at Birmingham,Johns Hopkins University,Engineering - Biomedical,2013,award
Millikin University,University of California-Irvine,Geosciences - Atmospheric Chemistry,2013,award
California State University Monterey Bay Foundation,California State University Monterey Bay Foundation,Life Sciences - Biochemistry,2013,award
Bridgewater College,University of Tennessee Knoxville,Mathematical Sciences - Mathematical Biology,2013,award
University of Puerto Rico Mayaguez,University of Puerto Rico Mayaguez,Engineering - Civil Engineering,2013,award
UNIVERSITY OF CALIFORNIA BERKELEY,California Institute of Technology,Chemistry - Chemical Catalysis,2013,award
Hope College,Hope College,"Chemistry - Chemical Theory, Models and Computational Methods",2013,award
University of Colorado at Boulder,Duke University,Geosciences - Biogeochemistry,2013,award
UNIVERSITY OF CALIFORNIA BERKELEY,University of Washington,Materials Research - Electronic materials,2013,award
University of Rhode Island,University of Rhode Island,Geosciences - Marine Biology,2013,award
University of Virginia Main Campus,Undecided,Life Sciences - Ecology,2013,award
Boston University,Duke University,Engineering - Biomedical,2013,award
University of Chicago,University of Chicago,Life Sciences - Biophysics,2013,award
University of Florida,University of Florida,Engineering - Civil Engineering,2013,award
Vanderbilt University,Vanderbilt University,Social Sciences - Political Science,2013,award
West Virginia University,University of Illinois at Urbana-Champaign,"Chemistry - Macromolecular, Supramolecular, and Nanochemistry",2013,award
University of California-Irvine,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",Geosciences - Geochemistry,2013,award
University of North Carolina at Charlotte,Cornell University,Engineering - Energy,2013,award
California State University-Fresno Foundation,Indiana University,Psychology - other (specify) - Psychology,2013,award
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Engineering - Bioengineering,2013,award
Yale University,Yale University,Comp/IS/Eng - Natural Language Processing,2013,award
City University of New York,Georgia Institute of Technology,Engineering - Materials,2013,award
University of New Mexico,University of Wisconsin-Madison,Life Sciences - Neurosciences,2013,award
California State University-Fullerton,University of California-Irvine,Life Sciences - Molecular Biology,2013,award
University of Wisconsin-Madison,University of California-Berkeley,Life Sciences - Proteomics,2013,award
Middlebury College,UNIVERSITY OF CALIFORNIA BERKELEY,Life Sciences - Cell Biology,2013,award
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"Mathematical Sciences - Algebra, Number Theory, and Combinatorics",2013,award
UNIVERSITY OF CALIFORNIA BERKELEY,UNIVERSITY OF CALIFORNIA BERKELEY,Engineering - Materials,2013,award
Denison University,Vanderbilt University,Psychology - Developmental,2013,award
University of Illinois at Urbana-Champaign,Northwestern University,Engineering - Biomedical,2013,award
Harvey Mudd College,Harvard University,Mathematical Sciences - Applied Mathematics,2013,award
University of Oklahoma Norman Campus,University of Oklahoma Norman Campus,Engineering - Mechanical,2013,award
University of California-Berkeley,University of California-Berkeley,Engineering - Electrical and Electronic,2013,award
Loyola University of Chicago,Duke University,Life Sciences - Microbiology,2013,award
University of Hawaii Manoa,University of Hawaii Manoa,Social Sciences - Archaeology,2013,award
University of Houston - Clear Lake,William Marsh Rice University,Comp/IS/Eng - Machine Learning,2013,award
University of Washington,Undecided,Life Sciences - other (specify) - Biomechanics,2013,award
SUNY at Buffalo,SUNY at Buffalo,Engineering - Chemical Engineering,2013,award
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,University of Arizona,Physics and Astronomy - Astronomy and Astrophysics,2013,award
Rochester Institute of Tech,Rochester Institute of Tech,Engineering - other (specify) - Remote Sensing,2013,award
Purdue University,University of Wisconsin-Madison,Engineering - Materials,2013,award
New Jersey Institute of Technology,Undecided,Geosciences - Geophysics,2013,award
California State University-Fullerton,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",Engineering - Materials,2013,award
California Institute of Technology,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",Engineering - Bioengineering,2013,award
University of Vermont & State Agricultural College,University of Chicago,Life Sciences - Ecology,2013,award
University of Rochester,University of Washington,Engineering - Electrical and Electronic,2013,award
Stanford University,University of Illinois at Urbana-Champaign,Engineering - Mechanical,2013,award
Rutgers University New Brunswick,Georgetown University,Chemistry - Chemical Catalysis,2013,award
University of Wisconsin-Madison,Stanford University School of Medicine,Life Sciences - Genetics,2013,award
Florida State University,University of Wisconsin-Madison,Life Sciences - Microbiology,2013,award
Case Western Reserve University,Vanderbilt University,Engineering - Biomedical,2013,award
"California State University, San Marcos",Undecided,Geosciences - Marine Biology,2013,award
Yale University,Princeton University,"Mathematical Sciences - Algebra, Number Theory, and Combinatorics",2013,award
Massachusetts Institute of Technology,California Institute of Technology,Engineering - Mechanical,2013,award
Pomona College,Stanford University,Life Sciences - Neurosciences,2013,award
Duke University,Duke University,Engineering - Electrical and Electronic,2013,award
Franklin and Marshall College,University of North Carolina at Chapel Hill,Psychology - Social,2013,award
Harvey Mudd College,Stanford University,Life Sciences - Genomics,2013,award
University of Texas at Austin,University of Texas at Austin,Engineering - Chemical Engineering,2013,award
Tufts University,Brown University,Life Sciences - Neurosciences,2013,award
Wesleyan University,Harvard University Medical School,Life Sciences - Molecular Biology,2013,award
Winona State University,Colorado State University,Engineering - Optical Engineering,2013,award
Hampshire College,University of California-Riverside,STEM Education and Learning Research - Science Education,2013,award
University of Notre Dame,University of California-Santa Barbara,Physics and Astronomy - Physics of Living Systems,2013,award
Oberlin College,Massachusetts Institute of Technology,"Physics and Astronomy - Atomic, Molecular and Optical Physics",2013,award
Temple University,Yale University,Life Sciences - Biophysics,2013,award
Carleton College,Harvard University,Engineering - Materials,2013,award
Purdue University,University of Notre Dame,Life Sciences - Microbiology,2013,award
Hampshire College,University of Michigan,Life Sciences - Ecology,2013,award
Harvey Mudd College,University of California-Berkeley,Comp/IS/Eng - Algorithms and Theoretical Foundations,2013,award
University of Minnesota- Twin Cities,University of Minnesota- Twin Cities,Engineering - Aeronautical and Aerospace,2013,award
Michigan State University,Michigan State University,Psychology - other (specify) - Clinical,2013,award
Wheaton College,University of Iowa,Physics and Astronomy - Plasma,2013,award
The University of Oklahoma,The University of Maryland,Physics and Astronomy - Theoretical Physics,2013,award
Princeton University,Carnegie-Mellon University,Comp/IS/Eng - Natural Language Processing,2013,award
University of Texas at Austin,University of Texas at Austin,Engineering - Aeronautical and Aerospace,2013,award
Scripps College,Undecided,Life Sciences - Ecology,2013,award
Emory University,University of California-Los Angeles,Psychology - Cognitive Neuroscience,2013,award
University of Tampa,Florida Institute of Technology,Life Sciences - Organismal Biology,2013,award
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Life Sciences - Neurosciences,2013,award
California Institute of Technology,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Psychology - Developmental,2013,award
Brown University,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",Life Sciences - Neurosciences,2013,award
Villanova University,Harvard University,Social Sciences - Biological Anthropology,2013,award
Brown University,Duke University,Psychology - Cognitive Neuroscience,2013,award
Harvard University,Harvard University,Comp/IS/Eng - Algorithms and Theoretical Foundations,2013,award
University of Texas at Austin,Undecided,Social Sciences - Science Policy,2013,award
Colgate University,Columbia University,Life Sciences - Neurosciences,2013,award
San Diego State University Foundation,Undecided,Life Sciences - Ecology,2013,award
Georgia Institute of Technology,Georgia Institute of Technology,Engineering - Chemical Engineering,2013,award
Wesleyan University,Stanford University,Geosciences - Tectonics,2013,award
University of Pennsylvania,Temple University,Psychology - Neuropsychology,2013,award
Mississippi State University,Geogia Institute of Technology,Engineering - Biomedical,2013,award
North Carolina State University,University of Washington,Engineering - Civil Engineering,2013,award
University of Maryland,University of Massachusetts Amherst,Social Sciences - Archaeology,2013,award
Saint Olaf College,Duke University,Geosciences - Hydrology,2013,award
Northwestern University,University of California-San Diego,Social Sciences - Linguistics,2013,award
North Carolina State University,North Carolina State University,Comp/IS/Eng - Computational Science and Engineering,2013,award
University of Southern Mississippi,University of California-Los Angeles,Social Sciences - Sociology  (except Social Work),2013,award
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF","HARVARD COLLEGE, PRESIDENT & FELLOWS OF",Life Sciences - Environmental Sciences,2013,award
Vanderbilt University,Arizona State University,Social Sciences - Archaeology,2013,award
Yale University,Harvard University,Chemistry - Chemical Synthesis,2013,award
University of California-Riverside,University of California-Irvine,Life Sciences - Ecology,2013,award
Tufts University,University of Chicago,Social Sciences - Cultural Anthropology,2013,award
University of Chicago,CORNELL UNIVERSITY,Social Sciences - Cultural Anthropology,2013,award
William Marsh Rice University,University of California-Los Angeles,Psychology - Social,2013,award
UNIVERSITY OF MICHIGAN,University of Illinois at Chicago,Social Sciences - Cultural Anthropology,2013,award
University of Maryland,University of Maryland,Engineering - Aeronautical and Aerospace,2013,award
UNIVERSITY OF MICHIGAN,UNIVERSITY OF MICHIGAN,"Mathematical Sciences - Algebra, Number Theory, and Combinatorics",2013,award
University of California-Berkeley,Massachusetts Institute of Technology,Chemistry - Chemical Measurement and Imaging,2013,award
University of Tehran,University of California Riverside Foundation,Physics and Astronomy - Astronomy and Astrophysics,2013,award
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Engineering - Chemical Engineering,2013,award
University of Washington,University of Washington,Life Sciences - Ecology,2013,award
Kent State University,Miami University,Life Sciences - Environmental Sciences,2013,award
JOHNS HOPKINS UNIVERSITY,JOHNS HOPKINS UNIVERSITY,Life Sciences - Cell Biology,2013,award
University of Central Florida,University of Central Florida,Engineering - Aeronautical and Aerospace,2013,award
University of Washington,Princeton University,Engineering - Chemical Engineering,2013,award
Pennsylvania State Univ University Park,Pennsylvania State Univ University Park,Geosciences - Physical and Dynamic Meteorology,2013,award
University of California-Irvine,University of California-Los Angeles,Psychology - Cognitive Neuroscience,2013,award
Roger Williams University,Northeastern University,Chemistry - Chemical Synthesis,2013,award
Brown University,Harvard University,Engineering - Environmental,2013,award
Duke University,University of California-Davis,Life Sciences - Ecology,2013,award
Gustavus Adolphus College,University of Minnesota- Twin Cities,Life Sciences - Genomics,2013,award
Bard College,Washington University,Social Sciences - Cultural Anthropology,2013,award
Brown University,Undecided,Life Sciences - Evolutionary Biology,2013,award
Loyola University of Chicago,Undecided,Life Sciences - Ecology,2013,award
Tufts University,Michigan State University,Life Sciences - Ecology,2013,award
Case Western Reserve University,Stanford University,Psychology - Cognitive,2013,award
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Materials Research - Materials theory,2013,award
Colgate University,UNIVERSITY OF MICHIGAN,Social Sciences - Cultural Anthropology,2013,award
Ohio State University,University of Michigan,Social Sciences - Political Science,2013,award
Evergreen State College,Harvard University,Life Sciences - Microbiology,2013,award
Union College,UNIVERSITY OF CALIFORNIA BERKELEY,Chemistry - Chemical Measurement and Imaging,2013,award
Calvin College,University of Oregon Eugene,Social Sciences - Geography,2013,award
Portland State University,University of Montana,Life Sciences - Ecology,2013,award
Washington and Lee University,Washington and Lee University,Social Sciences - Economics (except Business Administration),2013,award
Beloit College,The Pennsylvania State University,Psychology - Physiological,2013,award
Stanford University,Undecided,Life Sciences - Ecology,2013,award
University of Maryland College Park,University of Maryland College Park,Engineering - Aeronautical and Aerospace,2013,award
University of Maryland,California Institute of Technology,Geosciences - Atmospheric Chemistry,2013,award
Western Kentucky University,Wake Forest University,Life Sciences - Biochemistry,2013,award
University of New Mexico,JOHNS HOPKINS UNIVERSITY,Engineering - Chemical Engineering,2013,award
Drexel University,Drexel University,Engineering - Materials,2013,award
University of New Mexico,Stanford University,Engineering - Electrical and Electronic,2013,award
Carnegie-Mellon University,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",Psychology - Cognitive Neuroscience,2013,award
Franklin W. Olin College of Engineering,University of California-Irvine,Engineering - Biomedical,2013,award
University of Colorado at Boulder,University of California-Santa Cruz,Life Sciences - Ecology,2013,award
University of Tulsa,University of Tulsa,Engineering - Electrical and Electronic,2013,award
Yale University,University of Washington,Life Sciences - Ecology,2013,award
University of Tennessee Chattanooga,Georgia Institute of Technology,Engineering - Chemical Engineering,2013,award
California State University-Long Beach,Virginia Commonwealth University,Psychology - other (specify) - Health Psychology,2013,award
University of Washington,University of South Florida,Geosciences - Paleoclimate,2013,award
Williams College,Undecided,Life Sciences - Environmental Sciences,2013,award
Portland State University,Portland State University,Comp/IS/Eng - Machine Learning,2013,award
Harvey Mudd College,Harvey Mudd College,Comp/IS/Eng - Human Computer Interaction,2013,award
Harvey Mudd College,Stanford University,Engineering - Mechanical,2013,award
University of Puerto Rico Mayaguez,Northwestern University,Engineering - other (specify) - Mechanics,2013,award
New Mexico State University,New Mexico State University,Engineering - Civil Engineering,2013,award
San Diego State University Foundation,The Scripps Research Institute,Life Sciences - Biochemistry,2013,award
Brooklyn College of the City University of New York,The University of Pennsylvania,Chemistry - Chemical Synthesis,2013,award
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF","HARVARD COLLEGE, PRESIDENT & FELLOWS OF",Life Sciences - Neurosciences,2013,award
University of Illinois at Urbana-Champaign,Massachusetts Institute of Technology,Chemistry - Chemistry of Life Processes,2013,award
University of Texas at Austin,Undecided,Psychology - Neuropsychology,2013,award
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Engineering - Bioengineering,2013,award
Wayne State University,University of Kentucky,"Mathematical Sciences - Algebra, Number Theory, and Combinatorics",2013,award
Oregon State University,Cornell University,Engineering - Chemical Engineering,2013,award
University of Texas at Austin,University of Texas at Austin,Engineering - Chemical Engineering,2013,award
METROPOLITAN STATE COLLEGE OF DENVER,METROPOLITAN STATE COLLEGE OF DENVER,Life Sciences - other (specify) - Natural Resources and Environmental Management,2013,award
Yale University,Yale University,Comp/IS/Eng - Robotics and Computer Vision,2013,award
Clemson University,Vanderbilt University,Physics and Astronomy - other (specify) - MRI/NMR,2013,award
Carleton College,University of Minnesota-Twin Cities,Life Sciences - Environmental Sciences,2013,award
Saint Cloud State University,University of Minnesota-Twin Cities,"Chemistry - Chemical Structure, Dynamics, and Mechanism",2013,award
Morehouse College,Louisiana State University & Agricultural and Mechanical College,Chemistry - Chemical Measurement and Imaging,2013,award
University of Kentucky,University of Kentucky,Engineering - Chemical Engineering,2013,award
Massachusetts Institute of Technology,University of Maryland,Physics and Astronomy - Astronomy and Astrophysics,2013,award
Mississippi State University,Mississippi State University,Engineering - Computer Engineering,2013,award
University of Alabama Tuscaloosa,University of Alabama Tuscaloosa,Comp/IS/Eng - Computer and Information Security,2013,award
University of Maryland Baltimore County,Columbia University,Social Sciences - Political Science,2013,award
University of California-Berkeley,Cornell University,Engineering - Biomedical,2013,award
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Engineering - other (specify) - Structural Engineering,2013,award
University of North Carolina at Chapel Hill,North Carolina State University,Life Sciences - other (specify) - Plant Biology,2013,award
University of Montana,University of California-Berkeley,Life Sciences - Molecular Biology,2013,award
University of Washington,Stanford University,Life Sciences - Microbiology,2013,award
University of Kansas Main Campus,Washington University,Life Sciences - Neurosciences,2013,award
University of North Carolina at Chapel Hill,Vanderbilt University Medical Center,Life Sciences - Structural Biology,2013,award
UNIVERSITY OF MICHIGAN,UNIVERSITY OF MICHIGAN,Engineering - Electrical and Electronic,2013,award
University of Massachusetts Amherst,University of Massachusetts Boston,Geosciences - Paleoclimate,2013,award
Humboldt State University Foundation,Humboldt State University Foundation,Life Sciences - Ecology,2013,award
University of California-Berkeley,Stanford University,Engineering - Environmental,2013,award
University of California-Davis,UNIVERSITY OF CALIFORNIA BERKELEY,Life Sciences - Molecular Biology,2013,award
Colorado School of Mines,Cornell University,Life Sciences - Molecular Biology,2013,award
Dartmouth College,UCLA-HIGHER EDUCATION RESEARCH INSTITUTE,Social Sciences - Sociology  (except Social Work),2013,award
CUNY City College,CUNY City College,Mathematical Sciences - Applied Mathematics,2013,award
Stanford University,Harvard University,Mathematical Sciences - Probability,2013,award
University of Massachusetts Amherst,Stanford University,Chemistry - Chemical Catalysis,2013,award
University of Minnesota-Twin Cities,University of Minnesota-Twin Cities,Social Sciences - Sociology  (except Social Work),2013,award
San Diego State University Foundation,University of Arizona,Psychology - Cognitive Neuroscience,2013,award
Carnegie-Mellon University,Carnegie-Mellon University,Engineering - Bioengineering,2013,award
University of Washington,Undecided,Life Sciences - Evolutionary Biology,2013,award
University of Colorado at Boulder,University of California-San Francisco,Life Sciences - Biochemistry,2013,award
Vanderbilt University,Vanderbilt University,Engineering - Biomedical,2013,award
North Carolina State University,Georgia Institute of Technology,Engineering - Bioengineering,2013,award
University of Rochester,CUNY Graduate School University Center,Life Sciences - Evolutionary Biology,2013,award
University of Chicago,University of Pennsylvania,"Chemistry - Macromolecular, Supramolecular, and Nanochemistry",2013,award
Morehouse College,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Engineering - Mechanical,2013,award
Purdue University,UNIVERSITY OF MICHIGAN,Engineering - Nuclear,2013,award
University of Pittsburgh,University of Pittsburgh,Mathematical Sciences - Applied Mathematics,2013,award
Princeton University,Undecided,Psychology - Perception and Psychophysics,2013,award
UNIVERSITY OF MICHIGAN,University of California-Berkeley,Life Sciences - Developmental Biology,2013,award
Duke University,Undecided,Engineering - Bioengineering,2013,award
Texas A&M University Main Campus,Texas A&M University Main Campus,Comp/IS/Eng - Communication and Information Theory,2013,award
University of New England,UNIVERSITY OF MICHIGAN,Social Sciences - Urban and Regional Planning,2013,award
University of California-Berkeley,Columbia University,"Chemistry - Macromolecular, Supramolecular, and Nanochemistry",2013,award
Brigham Young University,Brigham Young University,Mathematical Sciences - Topology,2013,award
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,University of Washington,Materials Research - Electronic materials,2013,award
San Jose State University,University of California-Santa Cruz,Psychology - Developmental,2013,award
University of Notre Dame,University of Notre Dame,Life Sciences - Ecology,2013,award
University of Arizona,University of Arizona,Engineering - Optical Engineering,2013,award
California Institute of Technology,California Institute of Technology,Physics and Astronomy - Particle Physics,2013,award
University of Virginia Main Campus,University of California-Santa Barbara,Comp/IS/Eng - Robotics and Computer Vision,2013,award
University of California-Davis,Undecided,Life Sciences - Ecology,2013,award
University of Arizona,University of Arizona,Materials Research - Biomaterials,2013,award
Cornell University,University of Maryland College Park,Engineering - Materials,2013,award
Duke University,Duke University,Engineering - Materials,2013,award
University of California-Berkeley,California Institute of Technology,Engineering - Chemical Engineering,2013,award
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Engineering - Biomedical,2013,award
Rose-Hulman Institute of Technology,Clemson University,Engineering - Bioengineering,2013,award
University of Miami,Princeton University,Life Sciences - Developmental Biology,2013,award
Ball State University,CORNELL UNIVERSITY,Life Sciences - other (specify) - Plant Pathology,2013,award
Princeton University,Princeton University,Comp/IS/Eng - Robotics and Computer Vision,2013,award
University of Oklahoma Norman Campus,University of Minnesota-Twin Cities,Life Sciences - Organismal Biology,2013,award
Boston University,University of Texas at Austin,Life Sciences - Evolutionary Biology,2013,award
Connecticut College,Harvard University,Life Sciences - other (specify) - Biological Biomedical Sciences,2013,award
Davidson College,Undecided,Life Sciences - Genomics,2013,award
Yale University,University of Pennsylvania School of Medicine,Life Sciences - Neurosciences,2013,award
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Engineering - Materials,2013,award
University of Houston - Downtown,Stanford University,Life Sciences - Genomics,2013,award
Brown University,UNIVERSITY OF MICHIGAN,Physics and Astronomy - Condensed Matter Physics,2013,award
University of Virginia Main Campus,Undecided,Psychology - Cognitive Neuroscience,2013,award
Brown University,Undecided,Life Sciences - Molecular Biology,2013,award
Pomona College,University of California-Davis,Social Sciences - Sociology  (except Social Work),2013,award
University of Arizona,University of Washington,Mathematical Sciences - Applied Mathematics,2013,award
William Marsh Rice University,Northwestern University,"Chemistry - Macromolecular, Supramolecular, and Nanochemistry",2013,award
Ohio Northern University,University of Wisconsin-Madison,"Chemistry - Chemical Structure, Dynamics, and Mechanism",2013,award
Brigham Young University,Brigham Young University,Life Sciences - Developmental Biology,2013,award
University of Pennsylvania,University of Pennsylvania,Mathematical Sciences - Applied Mathematics,2013,award
Dartmouth College Thayer School of Engineering,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Engineering - Bioengineering,2013,award
University of California-San Diego,University of California-Berkeley,Psychology - Cognitive Neuroscience,2013,award
Georgia Institute of Technology,Georgia Institute of Technology,Engineering - Aeronautical and Aerospace,2013,award
University of Central Florida,Duke University,Life Sciences - Microbiology,2013,award
University of Oregon Eugene,Duke University,Life Sciences - Organismal Biology,2013,award
Georgia Institute of Technology,University of Michigan,Engineering - Mechanical,2013,award
University of Nebraska-Lincoln,Case Western Reserve University,Engineering - Biomedical,2013,award
Cornell University,Cornell University,Engineering - Materials,2013,award
University of Kansas Main Campus,University of Southern California,Psychology - Developmental,2013,award
UNIVERSITY OF ILLINOIS,University of California-Berkeley,Chemistry - Chemical Synthesis,2013,award
University of Michigan Ann Arbor,New York University,Mathematical Sciences - Applied Mathematics,2013,award
University of Miami,University of Virginia Main Campus,Life Sciences - Evolutionary Biology,2013,award
University of Chicago,Massachusetts Institute of Technology,Physics and Astronomy - Solid State,2013,award
University of Florida,University of Notre Dame,Engineering - Civil Engineering,2013,award
University of Chicago,New York University,Psychology - Cognitive Neuroscience,2013,award
Brown University,University of Hawaii Manoa,Geosciences - Marine Biology,2013,award
University of California-Davis,CORNELL UNIVERSITY,Engineering - Biomedical,2013,award
University of Kansas Main Campus,University of Kansas Main Campus,"Chemistry - Macromolecular, Supramolecular, and Nanochemistry",2013,award
University of Texas at Arlington,University of California-San Francisco,Life Sciences - Genomics,2013,award
University of Puerto Rico Mayaguez,University of Puerto Rico Mayaguez,Engineering - Civil Engineering,2013,award
Delaware State University,Hunter College of CUNY,Life Sciences - Cell Biology,2013,award
University of Washington,Stanford University,Physics and Astronomy - Condensed Matter Physics,2013,award
Clemson University,University of California-Davis,Engineering - Biomedical,2013,award
Princeton University,Cornell University,Geosciences - Marine Biology,2013,award
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Chemistry - Chemistry of Life Processes,2013,award
Princeton University,Princeton University,"Mathematical Sciences - Algebra, Number Theory, and Combinatorics",2013,award
Oberlin College,University of Miami,Social Sciences - Decision Making and Risk analysis,2013,award
University of Michigan,University of Michigan,"Mathematical Sciences - Algebra, Number Theory, and Combinatorics",2013,award
UNIVERSITY OF CALIFORNIA BERKELEY,American Museum Natural History,Life Sciences - Systematic Biology,2013,award
University of Wisconsin-Madison,UNIVERSITY OF MARYLAND,Psychology - Developmental,2013,award
Indiana University,Duke University,Life Sciences - Evolutionary Biology,2013,award
Haverford College,New York University,Social Sciences - Cultural Anthropology,2013,award
Michigan State University,University of Illinois at Chicago,Life Sciences - Ecology,2013,award
University of California-Irvine,University of California-Santa Barbara,"Chemistry - Chemical Theory, Models and Computational Methods",2013,award
Northwestern University,Stanford University,Chemistry - Chemical Catalysis,2013,award
Carnegie-Mellon University,University of Illinois at Urbana-Champaign,Comp/IS/Eng - Robotics and Computer Vision,2013,award
Wellesley College,Undecided,Psychology - Cognitive Neuroscience,2013,award
Stanford University,Stanford University,Mathematical Sciences - Applied Mathematics,2013,award
JOHNS HOPKINS UNIVERSITY,JOHNS HOPKINS UNIVERSITY,Engineering - Biomedical,2013,award
UNIVERSITY OF ILLINOIS,UNIVERSITY OF ILLINOIS,Engineering - Electrical and Electronic,2013,award
University of California-Irvine,University of California-Davis,Life Sciences - Genomics,2013,award
Amherst College,Undecided,Psychology - Social,2013,award
Barnard College,Barnard College,Chemistry - Chemical Synthesis,2013,award
Williams College,University of North Carolina at Chapel Hill,Materials Research - Polymers,2013,award
University of the Virgin Islands,The Pennsylvania State University,Psychology - Cognitive Neuroscience,2013,award
University of California-Santa Barbara,University of California-Santa Barbara,Life Sciences - Ecology,2013,award
University of Washington,University of Washington,Geosciences - Physical Oceanography,2013,award
