Baccalaureate Institution,Current Institution,Field of Study,Year,Status
California State University-Chico,University of California-Davis,Life Sciences - Cell Biology,2014,mention
University of Michigan Ann Arbor,University of Michigan Ann Arbor,Engineering - Aeronautical and Aerospace,2014,mention
Pennsylvania State Univ University Park,Carnegie-Mellon University,Engineering - Chemical Engineering,2014,mention
Iowa State University,Iowa State University,Engineering - Environmental,2014,mention
Pennsylvania State Univ University Park,Pennsylvania State Univ University Park,Geosciences - Physical and Dynamic Meteorology,2014,mention
Bowdoin College,University of California-Berkeley,Life Sciences - Evolutionary Biology,2014,mention
UNIVERSITY OF MICHIGAN,Undecided,"Comp/IS/Eng - Computer Systems, Networking, and Embedded Systems",2014,mention
University of Wisconsin-Madison,University of Wisconsin-Madison,Engineering - Bioengineering,2014,mention
Luther College,University of Iowa,Chemistry - Environmental Chemical Systems,2014,mention
College of Charleston,Vanderbilt University,Chemistry - Chemical Synthesis,2014,mention
University of California-Los Angeles,University of California-San Diego,Life Sciences - Neurosciences,2014,mention
Carleton College,Northwestern University,Materials Research - Photonic materials,2014,mention
Evangel University,Washington University School of Medicine,Life Sciences - Structural Biology,2014,mention
Tufts University,University of Michigan Ann Arbor,Engineering - Civil Engineering,2014,mention
Arizona State University,University of Colorado at Boulder,Social Sciences - Public Policy,2014,mention
University of Washington,University of Washington,Life Sciences - Ecology,2014,mention
University of Texas at Austin,University of Texas at Austin,Comp/IS/Eng - Computer Architecture,2014,mention
UNIVERSITY OF CALIFORNIA BERKELEY,Harvard Medical School,Life Sciences - other (specify) - Immunology,2014,mention
Clemson University,Clemson University,Engineering - Biomedical,2014,mention
UNIVERSITY OF CALIFORNIA BERKELEY,UNIVERSITY OF MICHIGAN,Engineering - Mechanical,2014,mention
Haverford College,University of California-Irvine,Chemistry - Chemical Synthesis,2014,mention
Colgate University,Princeton University,Life Sciences - Biochemistry,2014,mention
Clarkson University,University of Rochester,Comp/IS/Eng - Machine Learning,2014,mention
Valparaiso University,University of Michigan Ann Arbor,Chemistry - Chemistry of Life Processes,2014,mention
University of California-Berkeley,University of Washington,Engineering - Bioengineering,2014,mention
"GEORGE WASHINGTON UNIVERSITY, THE","GEORGE WASHINGTON UNIVERSITY, THE",Social Sciences - Political Science,2014,mention
Barnard College,Stanford University School of Medicine,Life Sciences - Developmental Biology,2014,mention
College of Charleston,Cornell University,Physics and Astronomy - Astronomy and Astrophysics,2014,mention
Pennsylvania State Univ University Park,Duke University,Life Sciences - Cell Biology,2014,mention
University of Washington,Stanford University,Engineering - Materials,2014,mention
University of Wisconsin-Madison,University of Wisconsin-Madison,Psychology - other (specify) - Affective Neuroscience,2014,mention
OHIO STATE UNIVERSITY,OHIO STATE UNIVERSITY,Engineering - Aeronautical and Aerospace,2014,mention
Rutgers University New Brunswick,University of Hawaii Manoa,Life Sciences - Neurosciences,2014,mention
University of Minnesota- Twin Cities,University of Michigan Ann Arbor,Physics and Astronomy - Theoretical Physics,2014,mention
Wartburg College,University of Oregon Eugene,"Chemistry - Chemical Structure, Dynamics, and Mechanism",2014,mention
Berry College,Colorado State University,Life Sciences - Ecology,2014,mention
University of Wisconsin-Madison,University of Wisconsin-Madison,Life Sciences - Genetics,2014,mention
University of Washington School of Medicine,University of Washington School of Medicine,Life Sciences - Genetics,2014,mention
Stanford University,California Institute of Technology,Materials Research - Chemistry of materials,2014,mention
SUNY College at Brockport,Michigan State University,Geosciences - Hydrology,2014,mention
Johns Hopkins University,Johns Hopkins University,Engineering - Biomedical,2014,mention
Purdue University,Purdue University,Engineering - Aeronautical and Aerospace,2014,mention
University of Connecticut,Yale University,Life Sciences - Physiology,2014,mention
UNIVERSITY OF CALIFORNIA BERKELEY,Northwestern University,Engineering - Bioengineering,2014,mention
University of Minnesota- Twin Cities,University of Massachusetts Amherst,Engineering - Environmental,2014,mention
Yale University,University of Cambridge,Engineering - Materials,2014,mention
Tufts University,Tufts University,Physics and Astronomy - Particle Physics,2014,mention
University of Wisconsin-Madison,University of Washington,Life Sciences - Genetics,2014,mention
Stetson University,University of South Florida,Geosciences - Marine Biology,2014,mention
Princeton University,Cambridge University,Life Sciences - Ecology,2014,mention
JOHNS HOPKINS UNIVERSITY,University of Illinois at Urbana-Champaign,Geosciences - Hydrology,2014,mention
University of Houston,University of Texas at Austin,Engineering - Energy,2014,mention
University of California-Irvine,University of Minnesota- Twin Cities,Engineering - Biomedical,2014,mention
University of California-Santa Barbara,Columbia University,Engineering - Chemical Engineering,2014,mention
University of Maryland,University of Maryland,Engineering - Materials,2014,mention
University of California-San Diego,University of California-Davis,Life Sciences - Ecology,2014,mention
Worcester Polytechnic Institute,Worcester Polytechnic Institute,Engineering - Biomedical,2014,mention
Arizona State University,Arizona State University,"Mathematical Sciences - Algebra, Number Theory, and Combinatorics",2014,mention
CORNELL UNIVERSITY,University of California-Irvine,Social Sciences - Cultural Anthropology,2014,mention
University of Rochester,University of Rochester,Geosciences - Geophysics,2014,mention
CUNY Queens College,CUNY Queens College,STEM Education and Learning Research - Mathematics Education,2014,mention
Emory University,Undecided,Life Sciences - Ecology,2014,mention
Southern Oregon University,University of Utah,Chemistry - Chemical Measurement and Imaging,2014,mention
Clarkson University,Clarkson University,Engineering - Mechanical,2014,mention
UC Berkeley,Yale University,Mathematical Sciences - Topology,2014,mention
University of Pittsburgh,Stanford University,Engineering - Electrical and Electronic,2014,mention
University of North Carolina at Chapel Hill,UNIVERSITY OF MICHIGAN,Life Sciences - Cell Biology,2014,mention
Georgia Institute of Technology,University of Massachusetts Amherst,Materials Research - Polymers,2014,mention
San Diego State University Foundation,University of Tulsa,Psychology - other (specify) - Psychophysiology,2014,mention
Cornell University,University of Illinois at Urbana-Champaign,Physics and Astronomy - Condensed Matter Physics,2014,mention
University of Colorado Denver,Stanford University,Engineering - Energy,2014,mention
Dickinson College,Northwestern University,Geosciences - Paleoclimate,2014,mention
Carroll College,Undecided,Chemistry - Sustainable Chemistry,2014,mention
Bangladesh University of Engineering and Technology,Undecided,Engineering - Civil Engineering,2014,mention
University of California-Santa Barbara,University of California-Santa Barbara,"Chemistry - Macromolecular, Supramolecular, and Nanochemistry",2014,mention
UNIVERSITY OF CALIFORNIA BERKELEY,"University of California, Los Angeles",Physics and Astronomy - Plasma,2014,mention
Clemson University,Clemson University,Life Sciences - other (specify) - Immunology,2014,mention
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Northwestern University,Materials Research - Chemistry of materials,2014,mention
Tulane University,Emory University,Psychology - Developmental,2014,mention
Macalester College,Yale University,Life Sciences - Neurosciences,2014,mention
Boston University,Duke University,Geosciences - Hydrology,2014,mention
University of California-San Diego,University of California-Santa Cruz,Life Sciences - Organismal Biology,2014,mention
Wake Forest University,University of Arizona,Social Sciences - Geography,2014,mention
Columbia University,University of California-San Francisco,Life Sciences - Cell Biology,2014,mention
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,University of California-San Francisco,Engineering - Bioengineering,2014,mention
Brown University,Stanford University,Psychology - Cognitive Neuroscience,2014,mention
Princeton University,University of Michigan Ann Arbor,"Mathematical Sciences - Algebra, Number Theory, and Combinatorics",2014,mention
UNIVERSITY OF MARYLAND,UNIVERSITY OF MARYLAND,Engineering - Mechanical,2014,mention
Harvard University,Harvard University,Mathematical Sciences - Statistics,2014,mention
University of Minnesota- Twin Cities,University of Minnesota- Twin Cities,Social Sciences - Economics (except Business Administration),2014,mention
Carnegie-Mellon University,University of California-Berkeley,Engineering - Bioengineering,2014,mention
Leland Stanford Jr. University,Undecided,Life Sciences - Genomics,2014,mention
Johns Hopkins University,University of California-Irvine,Engineering - Biomedical,2014,mention
University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,Psychology - Social,2014,mention
Princeton University,University of Texas at Austin,"Mathematical Sciences - Algebra, Number Theory, and Combinatorics",2014,mention
Saint Olaf College,Princeton University,Life Sciences - Developmental Biology,2014,mention
University of North Carolina at Chapel Hill,Northwestern University,Psychology - Social,2014,mention
Northwestern University,University of California-San Francisco,Life Sciences - Neurosciences,2014,mention
University of California-Santa Cruz,University of Hawaii Manoa,Geosciences - Biological Oceanography,2014,mention
Beloit College,North Carolina State University,Life Sciences - other (specify) - Behavioral Ecology,2014,mention
